Name,Created time,Difficulty,Due At,Form,Framework,Link,Mistakes,Notes,Source,Topics
Infected People,"August 2, 2026 1:20 PM",Medium,"August 12, 2026","BFS, Multi Source Shortest Path",Insert all the infected people into the queue,https://maang.in/problems/Infected-People-589?resourceUrl=pl3549-rs589&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,intialise ans with 0; for edge case in which all people are already infected,,AlgoZenith,Graphs
Area & Perimeter Of Connected Component,"August 2, 2026 2:09 PM",Hard,"August 16, 2026","BFS, DFS, Flood Fill","Start DFS/BFS from every cell, calculate size of connected components and perimeter contribution of cell",https://maang.in/problems/Area-and-Perimeter-of-Connected-Components-422?resourceUrl=pl3549-rs422&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"• Started BFS from every unvisited cell instead of only unvisited # cells.
• Didn't mark the starting cell as visited before pushing it into the queue.
• Didn't count the starting cell in currArea.
• Didn't add the starting cell's perimeter contribution to currPerimeter.",,AlgoZenith,Graphs
Stone Game III,"August 3, 2026 11:21 PM",Hard,"August 3, 2026",Game Dp,"the recurrence relation would be derived from the index, there can be 3 moves at a time",https://leetcode.com/problems/stone-game-iii/?envType=daily-question&envId=2026-08-03,,"Whenever you see a new problem, mentally go through these four questions:
1. Can I solve it recursively? Express the answer using smaller problems.
2. Do recursive calls repeat? If yes → DP.
3. What uniquely defines a state? Those variables become your DP dimensions.
4. Can I derive a recurrence? Use previously computed states.",LeetCode Problem Of The Day,"DP, Recursion"
Smallest Permutation,"August 5, 2026 12:23 AM",Medium,"August 12, 2026","BFS, Topological Ordering",use a priority queue in Kahns algorithm to sort the node added in topo,https://maang.in/problems/Smallest-Permutation-898?resourceUrl=pl3550-rs898&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,AlgoZenith,Graphs
Complete the Game,"August 5, 2026 11:45 PM",Medium,"August 19, 2026","DP, Topological Ordering","Traverse the nodes edges in topological sort order 
use dp array to store the number of paths uptill this node",https://maang.in/problems/Complete-the-Game-432?resourceUrl=pl3550-rs432&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"A good way to think about DP on DAGs is:Topological order is the order in which DP dependencies are satisfied.
Whenever the recurrence is of the formdp[v] depends only on predecessors,dp[v] \text{ depends only on predecessors},dp[v] depends only on predecessors,
a topological traversal is usually the correct processing order. This pattern appears frequently in competitive programming.",AlgoZenith,Graphs
Edge Reverse,"August 6, 2026 11:18 PM",Medium,"August 20, 2026","0-1 BFS, BFS","  • When adding an edge to the graph , add a reverse edge with weight as 1
  • do 0-1 BFS from the starting node
",https://maang.in/problems/Edge-Reverse-900?resourceUrl=pl3553-rs900&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,AlgoZenith,Graphs
Stone Game II — LeetCode 1140,"August 9, 2026 3:54 PM",Medium,"August 16, 2026","Game Dp, MniMax DP, Suffix Sum","DP on (index, M) + optimal opponent subtraction",https://leetcode.com/problems/stone-game-ii/?envType=daily-question&envId=2026-08-09,Initially forgot to populate suffix with piles; also important to iterate i backwards and include X = 2M.,"dp[i][M] = maximum stones the current player can obtain from i onward. suffix[i] is the total stones remaining. After choosing X, the opponent gets dp[i+X][max(M,X)], so current player's final amount is suffix[i] - opponent's optimal amount. Iterate i backwards because states depend on i+X. Base case: dp[n][M] = 0.",LeetCode Problem Of The Day,DP
Shortest Route I,"August 9, 2026 10:12 PM",Medium,"August 23, 2026","BFS, Dijkstras, Single Source Shortest Path (SSSP)",Graph → Weighted Directed Graph → Single-Source Shortest Path → Min-Heap,https://maang.in/problems/Shortest-Path-I-207?resourceUrl=pl3594-rs207&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,AlgoZenith,Graphs
Burn Them All,"August 9, 2026 10:38 PM",Medium,"August 23, 2026","BFS, Dijkstras, Single Source Shortest Path (SSSP)","Run Dijkstra from the source to get earliest fire-arrival time dist[u] for every node.For every edge (u, v, w), calculate when the entire edge burns.
Take the maximum edge-burning time.",https://maang.in/problems/Burn-them-All-618?resourceUrl=pl3594-rs618&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"  • Used integer division for half-time, turning 2.5 into 2.
  • Defining static values for arrays sizes, not using dynamic values from input","if |dist[u] - dist[v]| >= w, the earlier fire burns the whole edge: min(dist[u], dist[v]) + w.
Otherwise, fires approach each other from both ends, so finish time is (dist[u] + dist[v] + w) / 2.",AlgoZenith,Graphs
Stone Game IV,"August 10, 2026 10:13 PM",Hard,"August 17, 2026","Bottom Up Dp, Game Dp",Winning/Losing State DP → winning state is if for any k { k*k ≤ n } dp[n] = true if dp[n-k^2] = false,https://leetcode.com/problems/stone-game-iv/submissions/2101829163/?envType=daily-question&envId=2026-08-10,Used n instead of i inside the inner loop; initially used k² < n instead of k² <= i.,"dp[i] = whether the current player can force a win with i stones. Base: dp[0] = false. Recurrence: dp[i] = true if there exists a square k² <= i such that dp[i-k²] == false; otherwise false. Once one losing state is found, stop checking for that i.",LeetCode Problem Of The Day,DP
Length of Longest Subarray With at Most K Frequency,"August 12, 2026 10:18 PM",Medium,"August 26, 2026","Two Pointers, Two Pointers Form 1","Maintain a map of frequencies and then use the form 1 template for two pointers for isValid ",https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/description/?envType=daily-question&envId=2026-08-12,Cleared the whole window when invalid instead of removing arr[tail]; missed overlapping valid subarrays.,,LeetCode Problem Of The Day,"Arrays, Two Pointers"
Budget Travelling,"August 15, 2026 2:23 PM",Hard,"August 22, 2026","BFS, Dijkstras, Single Source Shortest Path (SSSP)","cost[city][fuel] = minimum money spent from source to reach city with exactly fuel remaining. From (city,fuel): buy 1 fuel → (city,fuel+1) with +price[city]; drive edge of weight w → (nextCity,fuel-w) with +0, if fuel >= w.",https://maang.in/problems/Budget-Travelling-615?resourceUrl=pl3597-rs615&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"In Java, shadowed the cost[][] array with local long cost; allocated second dimension using m instead of capacity; used n instead of dest for the final answer.","Graph → State (city, fuel) → Dijkstra",AlgoZenith,Graphs
One Peice,"August 15, 2026 3:35 PM",Hard,"August 23, 2026","0-1 BFS, BFS","use directions array to move into 4 directions, if the direction follows the node wind then wt = 0 otherwise 1",https://maang.in/problems/One-Piece-902?resourceUrl=pl3553-rs902&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"Grid Helper was using 0 based indexing, so colliding on the last cell ",,AlgoZenith,Graphs
Bellman Ford Revisited,"August 15, 2026 7:35 PM",Medium,"August 20, 2026","BFS, Bellman Ford, Single Source Shortest Path (SSSP)",Negate all the edges to make the question minimum path finding,https://maang.in/problems/BellmanFord-Revisited-209?resourceUrl=pl3595-rs209&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,AlgoZenith,Graphs
Snakes & Ladder,"August 16, 2026 5:50 PM",Medium,"August 25, 2026",BFS,"  • Maintain a nextNode array to jump cells
  • the movement can be from 1 to 6
",https://maang.in/problems/Snakes-and-Ladders-927?resourceUrl=pl3598-rs927&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,Initially only printed when 100 was popped; failed to output -1 when unreachable. Also used 0 as a sentinel for missing snake/ladder instead of initializing nextNode[i] = i.,,AlgoZenith,Graphs
Shortest Path II,"August 16, 2026 6:08 PM",Medium,"August 30, 2026","BFS, Floyd Warshall",Direct Floyd Warshall,https://maang.in/problems/Shortest-Path-II-208?resourceUrl=pl3596-rs208&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,,AlgoZenith,Graphs
Jump Game,"August 20, 2026 10:11 AM",Hard,"August 27, 2026","BFS, Dijkstras, Super Node","Model adjacent positions as bidirectional edges of cost b. For every distinct value, create one virtual node: index → virtual costs 0, virtual → index costs a, allowing jumps between equal-valued indices in O(1) graph structure instead of quadratic edges.",https://maang.in/problems/Jump-Game-897?resourceUrl=pl3599-rs897&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D," dist/vis size, missing INF initialization, int overflow risk, unnecessary Dijkstra parameter.","Java note: map.computeIfAbsent(x, k -> new ArrayList<>()).add(i) replaces the verbose containsKey/put/get pattern and creates the list only when the key is absent.",AlgoZenith,Graphs
All Pairs Shortest Path,"August 21, 2026 10:00 AM",Medium,"September 2, 2026",Floyd Warshall,"Relax the nodes in the reverse order of the removed nodes , then after each main iteration calculate the sum of shortest distances of all pairs",https://maang.in/problems/All-Pairs-Shortest-Path-431?resourceUrl=pl3596-rs431&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,,"Floyd–Warshall gradually allows vertices as intermediate nodes. For each newly added k, compare direct i→j with i→k→j. Since vertices are deleted, process the order in reverse so the graph is built back. After adding k, relax all pairs, then sum distances only among active vertices",AlgoZenith,Graphs
